id, tweet, emotion
0, i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here, 0
1, im alone i feel awful, 0
2, ive probably mentioned this before but i really do feel proud of myself for actually keeping up with my new years resolution of monthly and weekly goals, 1
3, i was feeling a little low few days back, 0
4, i beleive that i am much more sensitive to other peoples feelings and tend to be more compassionate, 2
5, i find myself frustrated with christians because i feel that there is constantly a talk about loving one another being there for each other and praying for each other and i have seen that this is not always the case, 2
6, i am one of those people who feels like going to the gym is only worthwhile if you can be there for an hour or more, 1
7, i feel especially pleased about this as this has been a long time coming, 1
8, i was struggling with these awful feelings and was saying such sweet things about not deserving my and my sisters friendship and we agreed well she was in her car just starting to drive away when she reached out her hand, 1
9, i feel so enraged but helpless at the same time, 3
10, i said feeling a bit rebellious, 3
11, i also feel disillusioned that someone who claimed to value the truth as i do was a fraud, 0
12, i mean is on this stupid trip of making the great album when things are going well i feel ecstatic, 1
13, i woke up feeling particularly vile tried to ignore it but it got worse and worse and worse, 3
14, i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan, 3
15, i know its just doing its job and doesnt actually have thoughts or feelings but that little jingle it does at the end of every cycle just makes it seem so excited to have done another load that it cant help but sing about it, 1
16, i wish you knew every word i write i write for you and i think it s useless because i m just heartless this feeling is empty in it s w, 0
17, i feel weird knowing mine died when i wasn t around, 4
18, i feel assured that there is no such thing as ultimate forgetting traces once impressed upon the memory are indestructible, 1
19, i feel blessed everyday for our little man and love to watch him grow, 2
20, i feel exhausted when i go home but i am always glad that i am learning new things and i can help others learn as well, 0
21, i stil can see kaibas face on every tv screen still see amateur duelists prowling the good side of city and still feel the urge to throttle all those idiotic mortals that dare to look me in the eye, 0
22, i don t like to feel uncomfortable with being alone and being quiet, 4
23, i was left kinda feeling stupid and insecure, 0
24, i alternate between feeling sympathetic toward humanity and being a misanthrope, 2
25, i have a pretty bad feeling the last two books will be rushed in terms of story, 3
26, i sincerely believe that every client celebrity or not deserves my full attention and leaves feeling more glamorous than when they arrived, 1
27, i don t feel comfortable around you, 4
28, i am happy that you don t feel as burdened and consumed as i do, 0
29, i am still here i am not dead yet but these things can not be said without feeling humiliated, 0
30, i have been continually surprised at how much less i need to eat to feel truly satisfied if im eating good food and sitting down for a whole lovely little experience at each meal satisfying the soul as well as the stomach, 1
31, i pretty much waddled out of the hospital feeling weird lightheaded but ok, 5
32, i apologize to him almost every day for my lack of faith and i ask him to give me more because i feel uncertain about my future here in kiev, 4
33, i am still searching for direction but at least now i feel slightly more assured more hopeful, 1
34, i am so angry that i feel like i have to go through life not being as carefree as i want to be, 1
35, i feel passionate about today because of him, 2
36, i am only having day a week where i am feeling depressed or seriously anxious, 0
37, article published, 1
38, i see things so clearly and with so much depth peace that it makes me feel unsure, 4
39, i feel myself relax a little he wouldn t be this friendly if he was going to tear me off a strip but my mind is working overtime trying to work out what he does want, 1
40, i feel doubtful about my place in the world of technology and the applicable value of the work i do i often find it helpful to think about doug engelbart listening to him describe in one of many interviews his goals the genesis of his goals and his dogged perseverance toward meeting his plan, 4
41, i feel like i have been given a gift and i am grateful for it, 1
42, im feeling rotten i dont post much new material that doesnt mean you shouldnt be reading when youre feeling rotten, 0
43, i have a feeling that theyre probably not going to be thrilled with me, 1
44, ive been feeling pretty shitty and been in a pretty shitty mood the past few days, 0
45, i cant even imagine how my mom and her three younger sisters must feel i think the weird thing about death is that from an early age we associate it with something evil and tragic, 5
46, i feel glad i am on the side of the law and the only journey about to start was our weekend sojourn to the city of pines, 1
47, i will most likely feel overwhelmed and exhausted again, 0
48, i can feel myself reaching out extending through time and space to touch my beloved, 1
49, im looking right now so desperately looking for a creative project that i feel like i have had a hand in that i need to sit and write my fucking mother fucker of a fuckity fuckers fucked play before i feel satisfied doing anything else, 3
50, i am really hoping to get to target soon and i am so glad im feeling more positive this week, 1
51, i dont know if i feel appreciative of all the talent out there or depressed that i suck at this so much, 1
52, i feel he will be ok with out it, 1
53, i tend to stop breathing when i m feeling stressed, 0
54, i feel sickened by and disgusted with the sins of man despite my divinity i feel sickened by and disgusted with the sins of man, 3
55, i feel that i have nothing smart or interesting to write about these days, 1
56, i feel blessed and grateful today, 2
57, i am not feeling very compassionate towards those that need our help i just want them to fix their own problems so i dont have to figure out what parts they need or how long it will take to get the job done or is this an emergency, 2
58, i had my week appointment yesterday and left feeling a little defeated, 0
59, i know it isnt true but sometimes i feel like the most unimportant insignificant person on the face of the earth, 0
60, i feel so numb to everything right now and its hard to express exactly what i feel but we went for a little harrison walk nonetheless to clear our heads, 0
61, i feel for you makes me brave, 1
62, i am feeling incredibly thankful for this year my children, 1
63, i write this i m sipping on a martini which is probably why i m feeling so generous, 1
64, i would recommend watching them to feel amazed and inspired, 5
65, i can t really put into eloquent words what i m trying to say i just feel listless and useless and meaningless as though i ve failed in life, 0
66, i feel that i have a really funny side that i would like people to see, 5
67, i already feel awful about what happened and i actually needed to hear you say everything you just said more than anything else in the whole world, 0
68, i feel divine and strong, 1
69, i can say that i feel amazed, 5
70, i actually think i am a fairly authentic person generally i am pretty honest about my opinions desires etc and almost never lie even white lies but when it comes to those deep dark close to home negative feelings in your gut oh how i have repressed them out of fear, 0
71, i slept horribly and i m feeling doubtful about everything like why can t i manage to figure out how to save more money, 4
72, i feel hopeful yet at times not so hopeful, 1
73, i just supposed to read the bible and think well god wants me to feel peaceful so thats what i will do, 1
74, i hated growing up i have no good memories of a life as an innocent child only the feeling of being hated and worthlessness consume the memories, 3
75, i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable, 0
76, when my kid brother broke my reading spectacles, 3
77, i could feel my mouth water as i devoted all my energy to evoking yelps from his lips, 2
78, i am feeling though that it may be worthwhile to learn the terminology and thus improve my ability to communicate, 1
79, i don t feel afraid i m a nurse i m doing my job, 4
80, i was feeling confident that i could work with these kids teach them, 1
81, im feeling scared, 4
82, i was feeling really cute and happy for church on sunday so i thought itd be a good time to take a belly picture, 1
83, i feel burdened because yuchun and junsu have been doing so well, 0
84, i had to really say that i m feeling remorseful and regretful for what i ve done, 0
85, i am associated with what they do despite how i feel and protest about it whilst reaping the benefits of a relatively peaceful society, 1
86, i have a feeling i will once again walk out pressured to induce but i just have to remain strong in the face of pressure, 4
87, i feel like i m frolicking away precious time to do something for my future, 1
88, i feel like i have some useful tools, 1
89, i feel like im in some kind of defective shell that prevents me from utilizing who i know myself to be from using the tools i was given, 0
90, i feel so empty i dont know what i am suppose to do, 0
91, i genuinely feel for the characters and am keen to uncover every part of the story, 1
92, im feeling adventurous i might toss in a scoop of protein powder for an extra punch of nutrition, 1
93, i feel awkward around rose, 0
94, i want to be generous but sometimes i feel greedy, 3
95, i feel so unsure about this book was the ending, 4
96, i really liked it and i have a feeling the beloved would have liked it too except hes away still and missed out, 1
97, i feel like talking in a snobbish uppity accent and responding with let me just say a lot while flipping my hair and then trying to pull the cheese wiz out of it, 3
98, i don t feel as needy and desperate to prove things, 0
99, i feel bad for my mum who carries everything and everyone, 0
100, i have a feeling some people really outgoing people must feel like that naturally, 1
